userName,content,score,at
Aptalia Rahmantyo,ok,5,2025-07-14 17:53:55
Raihani Shofi,game nya seru bangettt chapter chapter nya menarik dan melatih ke fokusan jgn lupa download dehhh,5,2025-07-09 10:45:08
Ienaya Naya,"seriusan gamenya sangat diluar ekspetasi gue! download karena bosan, pas gue main beh ternyata keren banget, storylinenya juga, ya Tuhan, Nordcurrent lanjutin tolong, ni gamenya bagus bangett, ini lu gantungin gue bangett😭",5,2025-07-03 02:44:20
Ini Riri,"pokoknya kalo nyari game misteri detektif yang story-nya kental, penuh plot twist tapi tetep logis, ini sih jawabannya. selain itu, voice over-nya ga sembarangan, grafiknya jelas/ga kabur, ditambah ada kayak sesi komik stripnya gitu. minusnya di energi yang lama di-recharge aja sih, sama pilihan bahasa in-game-nya nggak lengkap, jadi mesti pake b Inggris dan ekstra fokus. yang paling penting sih, kami tunggu-tunggu banget chapter barunya utk segera rilis. semangat ya! over all, BINTANG 5!!",5,2025-07-01 18:24:10
Dewa Ayu Indira Laksmidewi,"bagus, emg game detektif paling niat sih dri dev ini, Gw udh main game yg satunya yg murder mysterie jg dan sama"" bagus. sedikit saran yaa kembangin lagi dan lanjutin alur gamenya yaakk! nice game. semoga makin populer game kyk gini! seru bgt soalnya",5,2025-06-28 05:01:23
Salma Terserah,"Sebuah permainan detektif yang sangat menggugah dengan storylinenya. Walau masalah energi agak menyebalkan, tetapi cukup dipuaskan dengan cerita dan gameplay yang tidak melulu mencari doang. Tapi aku download ulang setelah dulu pernah selesain, kok malah hilang ya progress nya? Padahal sudah di backup pake akun Facebook dulu, tapi malah katanya gak bisa login lewat Facebook? Jadi mesti mulai ulang lagi progress dan achievement nya :(",3,2025-06-26 17:46:40
Hairi 1212,",,,👍👍👍oke",5,2025-06-15 22:22:44
Dontkey Irawan,Login selalu gagal. Mengulang terus katanya suruh nunggu 15 mnit. Trus aja gitu kapan main nya,1,2025-06-09 11:26:23
Susan Lie,game ini sangat bagus dan seru.. dl sy ud pernah main.. trus sy hps lg krn kesel bnget sama game ini.. dikit2 pakai energi.. trus nggu penuhnya itu sangat2 lama bnget.. moga di perbaiki lg.. terimakasih,2,2025-06-04 05:52:49
rana.,"one of my fav mystery game. Grafik, storinya lov bgt",5,2025-06-03 12:07:31
Riswanto,"gamenya bagus dan ringan. latar belakang juga di daerah pegunungan es salju yang menambah suasana sejuk,adem dan tenang. jadinya terkesan nyaman, enak untuk dilihat dan dimainkan. mantap 👍🏻",5,2025-06-03 05:50:50
paramita sari,tidak bisa login,3,2025-05-29 12:09:52
Asiau Uu,isi energynya lama banget bjirrr,3,2025-05-28 14:59:57
Dina Cahyati,"Game nya bagus banget, asik juga karena ngga kudah, menantang. Semoga energinya bisa lebih keisi cepet ya, karena lg asik main tapi selalu kekurangan energi",5,2025-05-05 15:46:51
alim Alim,jangan do dowbload bro soalnya ingin kebergantungan sa energi kalo abis nunggunya bakalan lama jafi kita sebagai player bosen dluan. mending download nobodies aja,1,2025-04-19 17:20:21
Ghaziyah Fitriah,"Baru liat ada game hidden object yang seniat ini aaa😭 bagus banget dari alurnya, artnya, minigamenya, jadi ga bosen cuman nyari2 barang doang. Terutama voice act nya ga kaleng2, sampe accentnya sesuai sama latar chara. Salut deh, game kayak gini ga cocok gratis sebenernya 😭 Tapi ya setelah lama dimainkan ternyata chapter 2 dan seterusnya alurnya ga terlalu mindblowing dan kyk terlalu singkat dibandingkan dengan chapter 1. Kesannya memang kayak di milking buat bisa dilanjutin di lokasi yg sama",4,2025-04-18 19:26:03
Hasnah,"seru dan menarik, terus agak menantang juga gameplaynya, sama ada benda2 misteri yang bisa kita cari. kepada developer, semangat dan update terus game begini",5,2025-04-14 14:13:12
Hafiizahh ainur,"Bagus tipe gw banget, kemarin main ini ga sampe tamat hp gw meledak , sekarang baru keinget lagi tapi bagus ,nice 👍🏿",5,2025-04-08 07:28:10
Zaid Nurjamal,game gak bisa dibuka. server is not responding.,1,2025-04-06 14:15:16
Eleanor Adeland,"grafisnya sudah bagus, suaranya juga, jalan ceritanya juga menarik bikin penasaran...cocok untuk pecinta game teka teki seperti ini, tapi, tolong dikurangi mencari barang-barang nya karena mungkin ada sebagian player termasuk aku bosen cari barang barangnya apalagi belum energinya habis, tolong diperbaiki lagi, terimakasih 😊☺️",5,2025-04-05 23:40:14
Hanifah Dwis,"setiap ganti handphone pasti cari game ini, udah lama banget suka game satu ini. Mulai dari plot, voice over, grafik. Keren banget pokoknya, aku cari game yg kayak gini gak nemu lagi. Bestest game ive ever plaay! Gak pernah bosen.",5,2025-04-01 13:37:31
Fathiah Indah Syarifah,"Game nya bagus dan aku suka, cuma Energinya kenapa lama sekali mengisinya dan kenapa cepat sekali habisnya",4,2025-03-21 02:27:57
Jack Zulfi,"the issue have been fixed, thank you dev! keeep the good work!",5,2025-02-11 01:50:32
Devi Lianda,"Secara keseluruhan bagus, tapi energinya cepat habis",4,2025-02-02 16:11:44
Elia Adiel,"game find hidden object paling niat sedunia. dari alur cerita, visual, lagu dll. jarang2 aku ngadi ulasan tapi ini worth the review",5,2025-02-02 07:27:47
Bayu Prasetyo,Server always unreachable,1,2025-02-01 18:28:27
Ulfah Kharimah,"Gamenya bagus banget baik secara visual, alur cerita, ragam mini dan macro gamesnya! Masalahnya cuma di energy yang makan waktu buat ngumpulin, tetapi cepat banget habisnya. Belum lagi nggak ada pilihan nonton iklan untuk mengumpulkan energy. Semalaman ngumpulin energy, habis sekejap bahkan belum selesai saat cari mainin gamesnya.",4,2025-01-28 05:41:39
Made Laksmi,bagus banget cmn energynya lama ke isi,3,2025-01-26 05:06:31
Soli Marchelena,"kalo ngebug gue balik lagi, baru mulai wkwkwk",5,2025-01-22 15:41:22
andi nurafiqah soraya,"Setiap kali main selalu server tidak merespon, padahal jaringan internet lancar dan saya juga bisa tetap main murder by choice. Game yg sama dari developer ini, padahal gamenya baru di-update kok malah jadi parah banget. Sebelum di-update tidak pernah kayak gini",2,2025-01-06 09:56:26
Rahman Hakim,Server is not responding. Please try again in 15 minutes,1,2025-01-05 07:37:42
Yusufa Mardika,"berkelass game nya ngasah otak bangett,... sampe butuh temen buat bantuuin selesai nya misi",5,2024-12-15 18:17:57
ajeng febrian,keren banget!!! suka deh miss myers sekarang punya flat sendiri🩷,5,2024-11-21 10:13:19
budi mandiri,"I love this type of game so much, thankyou for also paying attention to the voice actor. please do make more games like this in the future nordcurrent! ❤",5,2024-11-20 12:41:30
Husna Tanbu,Aku sudah tamat. Ada lagi ga sih game seperti ini,5,2024-11-19 03:25:51
Harun Ahmad,Very good,5,2024-11-18 12:57:08
Erwin Chandra,mantul,5,2024-11-16 07:26:48
Rosheta Ross,"Ok...Udah finish gamenya, tinggal nunggu season terbaru lagi",5,2024-11-13 06:49:22
Annisa Nur sakinah,Ceritanya Bagus semua bagus haya kurang gak ada bahasa indonesia,5,2024-11-09 13:04:41
Aurelia Keyla,boros energi,2,2024-11-09 11:23:48
Second Soul,why i can't not open the chapter 6... All chapter i already finish,1,2024-11-01 20:04:28
Kavi Ananda,good game,5,2024-10-10 12:48:26
Dewi,bgs game nya,4,2024-09-30 13:05:18
Eseiar Sinta,"I have finished this game. I thought chapter 6 (Wiped out) would be the end, but it only went up to chapter 5 (No Quarter). I am waiting for the continuation of this game.",4,2024-09-18 22:56:54
big sandwich,Best mystery game i ever played in mobile. Especially Dada Killer part🫡,5,2024-09-08 07:23:55
T Mar,"Uninstalled the game, because I still can't play it due to server not reponding notification.",1,2024-09-03 03:43:34
Abdul Majid,this is the marvelous game,4,2024-08-18 06:40:55
emak emak,"Why ""server not responding"" since 3 days ago? but in other nordcurrent's games it runs smoothly",5,2024-08-05 09:51:28
Andika C,"Bagus dari segi plot sampe gameplay,tapi kekurangan di bagian energi nya cepet bgt abis ☝️",5,2024-08-02 03:12:19
Alya AshilaA,i like the caracter,5,2024-07-30 16:37:25
Rocky Hanter555,ok,5,2024-07-20 05:31:41
Ronaldo da Costa Araujo,⭐👍🙂,5,2024-07-19 23:21:26
Nefertiti,"Too long to get energy, but its okat, worth fort the game",5,2024-07-09 15:48:32
Selvi Eva,Boros energi mana nambahnya dikit bgt,1,2024-07-08 17:22:41
