userName,content,score,at,cleaning,case_folding,token,normalization,stopword,negation,stemming
Dina Cahyati,"Game nya bagus banget, asik juga karena ngga kudah, menantang. Semoga energinya bisa lebih keisi cepet ya, karena lg asik main tapi selalu kekurangan energi",5,2025-05-05 15:46:51,Game nya bagus banget asik juga karena ngga kudah menantang Semoga energinya bisa lebih keisi cepet ya karena lg asik main tapi selalu kekurangan energi,game nya bagus banget asik juga karena ngga kudah menantang semoga energinya bisa lebih keisi cepet ya karena lg asik main tapi selalu kekurangan energi,"['game', 'nya', 'bagus', 'banget', 'asik', 'juga', 'karena', 'ngga', 'kudah', 'menantang', 'semoga', 'energinya', 'bisa', 'lebih', 'keisi', 'cepet', 'ya', 'karena', 'lg', 'asik', 'main', 'tapi', 'selalu', 'kekurangan', 'energi']","['game', 'ya', 'bagus', 'banget', 'asyik', 'juga', 'karena', 'tidak', 'sudah', 'menantang', 'semoga', 'energinya', 'bisa', 'lebih', 'terisi', 'cepat', 'ya', 'karena', 'lagi', 'asyik', 'main', 'tapi', 'selalu', 'kekurangan', 'energi']","['game', 'bagus', 'banget', 'asyik', 'tidak', 'menantang', 'semoga', 'energinya', 'terisi', 'cepat', 'asyik', 'main', 'kekurangan', 'energi']","['game', 'bagus', 'banget', 'asyik', 'tidak_menantang', 'semoga', 'energinya', 'terisi', 'cepat', 'asyik', 'main', 'kekurangan', 'energi']","['game', 'bagus', 'banget', 'asyik', 'tidak tantang', 'moga', 'energi', 'isi', 'cepat', 'asyik', 'main', 'kurang', 'energi']"
alim Alim,jangan do dowbload bro soalnya ingin kebergantungan sa energi kalo abis nunggunya bakalan lama jafi kita sebagai player bosen dluan. mending download nobodies aja,1,2025-04-19 17:20:21,jangan do dowbload bro soalnya ingin kebergantungan sa energi kalo abis nunggunya bakalan lama jafi kita sebagai player bosen dluan mending download nobodies aja,jangan do dowbload bro soalnya ingin kebergantungan sa energi kalo abis nunggunya bakalan lama jafi kita sebagai player bosen dluan mending download nobodies aja,"['jangan', 'do', 'dowbload', 'bro', 'soalnya', 'ingin', 'kebergantungan', 'sa', 'energi', 'kalo', 'abis', 'nunggunya', 'bakalan', 'lama', 'jafi', 'kita', 'sebagai', 'player', 'bosen', 'dluan', 'mending', 'download', 'nobodies', 'aja']","['jangan', 'di', 'unduh', 'bro', 'soalnya', 'ingin', 'kebergantungan', 'sa', 'energi', 'kalau', 'habis', 'menunggu', 'akan', 'lama', 'jadi', 'kita', 'sebagai', 'pemain', 'bosan', 'duluan', 'lebih', 'baik', 'unduh', 'tidak', 'ada', 'saja']","['jangan', 'unduh', 'bro', 'kebergantungan', 'sa', 'energi', 'habis', 'menunggu', 'pemain', 'bosan', 'duluan', 'unduh', 'tidak']","['tidak_unduh', 'bro', 'kebergantungan', 'sa', 'energi', 'habis', 'menunggu', 'pemain', 'bosan', 'duluan', 'unduh']","['tidak unduh', 'bro', 'gantung', 'sa', 'energi', 'habis', 'tunggu', 'main', 'bosan', 'duluan', 'unduh']"
Ghaziyah Fitriah,"Baru liat ada game hidden object yang seniat ini aaa😭 bagus banget dari alurnya, artnya, minigamenya, jadi ga bosen cuman nyari2 barang doang. Terutama voice act nya ga kaleng2, sampe accentnya sesuai sama latar chara. Salut deh, game kayak gini ga cocok gratis sebenernya 😭 Tapi ya setelah lama dimainkan ternyata chapter 2 dan seterusnya alurnya ga terlalu mindblowing dan kyk terlalu singkat dibandingkan dengan chapter 1. Kesannya memang kayak di milking buat bisa dilanjutin di lokasi yg sama",4,2025-04-18 19:26:03,Baru liat ada game hidden object yang seniat ini aaa bagus banget dari alurnya artnya minigamenya jadi ga bosen cuman nyari barang doang Terutama voice act nya ga kaleng sampe accentnya sesuai sama latar chara Salut deh game kayak gini ga cocok gratis sebenernya  Tapi ya setelah lama dimainkan ternyata chapter  dan seterusnya alurnya ga terlalu mindblowing dan kyk terlalu singkat dibandingkan dengan chapter  Kesannya memang kayak di milking buat bisa dilanjutin di lokasi yg sama,baru liat ada game hidden object yang seniat ini aaa bagus banget dari alurnya artnya minigamenya jadi ga bosen cuman nyari barang doang terutama voice act nya ga kaleng sampe accentnya sesuai sama latar chara salut deh game kayak gini ga cocok gratis sebenernya  tapi ya setelah lama dimainkan ternyata chapter  dan seterusnya alurnya ga terlalu mindblowing dan kyk terlalu singkat dibandingkan dengan chapter  kesannya memang kayak di milking buat bisa dilanjutin di lokasi yg sama,"['baru', 'liat', 'ada', 'game', 'hidden', 'object', 'yang', 'seniat', 'ini', 'aaa', 'bagus', 'banget', 'dari', 'alurnya', 'artnya', 'minigamenya', 'jadi', 'ga', 'bosen', 'cuman', 'nyari', 'barang', 'doang', 'terutama', 'voice', 'act', 'nya', 'ga', 'kaleng', 'sampe', 'accentnya', 'sesuai', 'sama', 'latar', 'chara', 'salut', 'deh', 'game', 'kayak', 'gini', 'ga', 'cocok', 'gratis', 'sebenernya', 'tapi', 'ya', 'setelah', 'lama', 'dimainkan', 'ternyata', 'chapter', 'dan', 'seterusnya', 'alurnya', 'ga', 'terlalu', 'mindblowing', 'dan', 'kyk', 'terlalu', 'singkat', 'dibandingkan', 'dengan', 'chapter', 'kesannya', 'memang', 'kayak', 'di', 'milking', 'buat', 'bisa', 'dilanjutin', 'di', 'lokasi', 'yg', 'sama']","['baru', 'lihat', 'ada', 'game', 'tersembunyi', 'objek', 'yang', 'seniat', 'ini', 'aaa', 'bagus', 'banget', 'dari', 'alurnya', 'seninya', 'minigamenya', 'jadi', 'tidak', 'bosan', 'cuman', 'cari', 'barang', 'saja', 'terutama', 'suara', 'akting', 'ya', 'tidak', 'kaleng', 'sampai', 'aksennya', 'sesuai', 'sama', 'latar', 'karakter', 'salut', 'deh', 'game', 'seperti', 'begini', 'tidak', 'cocok', 'gratis', 'sebenarnya', 'tapi', 'ya', 'setelah', 'lama', 'dimainkan', 'ternyata', 'chapter', 'dan', 'seterusnya', 'alurnya', 'tidak', 'terlalu', 'menakjubkan', 'dan', 'seperti', 'terlalu', 'singkat', 'dibandingkan', 'dengan', 'chapter', 'kesannya', 'memang', 'seperti', 'di', 'memerah', 'susu', 'buat', 'bisa', 'dilanjutin', 'di', 'lokasi', 'yang', 'sama']","['game', 'tersembunyi', 'objek', 'seniat', 'aaa', 'bagus', 'banget', 'alurnya', 'seninya', 'minigamenya', 'tidak', 'bosan', 'cuman', 'cari', 'barang', 'suara', 'akting', 'tidak', 'kaleng', 'aksennya', 'sesuai', 'latar', 'karakter', 'salut', 'deh', 'game', 'tidak', 'cocok', 'gratis', 'dimainkan', 'chapter', 'alurnya', 'tidak', 'menakjubkan', 'singkat', 'dibandingkan', 'chapter', 'kesannya', 'memerah', 'susu', 'dilanjutin', 'lokasi']","['game', 'tersembunyi', 'objek', 'seniat', 'aaa', 'bagus', 'banget', 'alurnya', 'seninya', 'minigamenya', 'tidak_bosan', 'cuman', 'cari', 'barang', 'suara', 'akting', 'tidak_kaleng', 'aksennya', 'sesuai', 'latar', 'karakter', 'salut', 'deh', 'game', 'tidak_cocok', 'gratis', 'dimainkan', 'chapter', 'alurnya', 'tidak_menakjubkan', 'singkat', 'dibandingkan', 'chapter', 'kesannya', 'memerah', 'susu', 'dilanjutin', 'lokasi']","['game', 'sembunyi', 'objek', 'niat', 'aaa', 'bagus', 'banget', 'alur', 'seni', 'minigamenya', 'tidak bosan', 'cuman', 'cari', 'barang', 'suara', 'akting', 'tidak kaleng', 'aksen', 'sesuai', 'latar', 'karakter', 'salut', 'deh', 'game', 'tidak cocok', 'gratis', 'main', 'chapter', 'alur', 'tidak takjub', 'singkat', 'banding', 'chapter', 'kesan', 'merah', 'susu', 'dilanjutin', 'lokasi']"
Hasnah,"seru dan menarik, terus agak menantang juga gameplaynya, sama ada benda2 misteri yang bisa kita cari. kepada developer, semangat dan update terus game begini",5,2025-04-14 14:13:12,seru dan menarik terus agak menantang juga gameplaynya sama ada benda misteri yang bisa kita cari kepada developer semangat dan update terus game begini,seru dan menarik terus agak menantang juga gameplaynya sama ada benda misteri yang bisa kita cari kepada developer semangat dan update terus game begini,"['seru', 'dan', 'menarik', 'terus', 'agak', 'menantang', 'juga', 'gameplaynya', 'sama', 'ada', 'benda', 'misteri', 'yang', 'bisa', 'kita', 'cari', 'kepada', 'developer', 'semangat', 'dan', 'update', 'terus', 'game', 'begini']","['seru', 'dan', 'menarik', 'terus', 'agak', 'menantang', 'juga', 'gamenya', 'sama', 'ada', 'benda', 'misteri', 'yang', 'bisa', 'kita', 'cari', 'kepada', 'pengembang', 'semangat', 'dan', 'update', 'terus', 'game', 'begini']","['seru', 'menarik', 'menantang', 'gamenya', 'benda', 'misteri', 'cari', 'pengembang', 'semangat', 'update', 'game']","['seru', 'menarik', 'menantang', 'gamenya', 'benda', 'misteri', 'cari', 'pengembang', 'semangat', 'update', 'game']","['seru', 'tarik', 'tantang', 'gamenya', 'benda', 'misteri', 'cari', 'kembang', 'semangat', 'update', 'game']"
Hafiizahh ainur,"Bagus tipe gw banget, kemarin main ini ga sampe tamat hp gw meledak , sekarang baru keinget lagi tapi bagus ,nice 👍🏿",5,2025-04-08 07:28:10,Bagus tipe gw banget kemarin main ini ga sampe tamat hp gw meledak  sekarang baru keinget lagi tapi bagus nice ,bagus tipe gw banget kemarin main ini ga sampe tamat hp gw meledak  sekarang baru keinget lagi tapi bagus nice ,"['bagus', 'tipe', 'gw', 'banget', 'kemarin', 'main', 'ini', 'ga', 'sampe', 'tamat', 'hp', 'gw', 'meledak', 'sekarang', 'baru', 'keinget', 'lagi', 'tapi', 'bagus', 'nice']","['bagus', 'tipe', 'saya', 'banget', 'kemarin', 'main', 'ini', 'tidak', 'sampai', 'tamat', 'hp', 'saya', 'meledak', 'sekarang', 'baru', 'teringat', 'lagi', 'tapi', 'bagus', 'bagus']","['bagus', 'tipe', 'banget', 'kemarin', 'main', 'tidak', 'tamat', 'hp', 'meledak', 'bagus', 'bagus']","['bagus', 'tipe', 'banget', 'kemarin', 'main', 'tidak_tamat', 'hp', 'meledak', 'bagus', 'bagus']","['bagus', 'tipe', 'banget', 'kemarin', 'main', 'tidak tamat', 'hp', 'ledak', 'bagus', 'bagus']"
Zaid Nurjamal,game gak bisa dibuka. server is not responding.,1,2025-04-06 14:15:16,game gak bisa dibuka server is not responding,game gak bisa dibuka server is not responding,"['game', 'gak', 'bisa', 'dibuka', 'server', 'is', 'not', 'responding']","['game', 'tidak', 'bisa', 'dibuka', 'server', 'adalah', 'tidak', 'merespon']","['game', 'tidak', 'dibuka', 'server', 'tidak', 'merespon']","['game', 'tidak_dibuka', 'server', 'tidak_merespon']","['game', 'tidak buka', 'server', 'tidak merespon']"
Eleanor Adeland,"grafisnya sudah bagus, suaranya juga, jalan ceritanya juga menarik bikin penasaran...cocok untuk pecinta game teka teki seperti ini, tapi, tolong dikurangi mencari barang-barang nya karena mungkin ada sebagian player termasuk aku bosen cari barang barangnya apalagi belum energinya habis, tolong diperbaiki lagi, terimakasih 😊☺️",5,2025-04-05 23:40:14,grafisnya sudah bagus suaranya juga jalan ceritanya juga menarik bikin penasarancocok untuk pecinta game teka teki seperti ini tapi tolong dikurangi mencari barangbarang nya karena mungkin ada sebagian player termasuk aku bosen cari barang barangnya apalagi belum energinya habis tolong diperbaiki lagi terimakasih ,grafisnya sudah bagus suaranya juga jalan ceritanya juga menarik bikin penasarancocok untuk pecinta game teka teki seperti ini tapi tolong dikurangi mencari barangbarang nya karena mungkin ada sebagian player termasuk aku bosen cari barang barangnya apalagi belum energinya habis tolong diperbaiki lagi terimakasih ,"['grafisnya', 'sudah', 'bagus', 'suaranya', 'juga', 'jalan', 'ceritanya', 'juga', 'menarik', 'bikin', 'penasarancocok', 'untuk', 'pecinta', 'game', 'teka', 'teki', 'seperti', 'ini', 'tapi', 'tolong', 'dikurangi', 'mencari', 'barangbarang', 'nya', 'karena', 'mungkin', 'ada', 'sebagian', 'player', 'termasuk', 'aku', 'bosen', 'cari', 'barang', 'barangnya', 'apalagi', 'belum', 'energinya', 'habis', 'tolong', 'diperbaiki', 'lagi', 'terimakasih']","['grafisnya', 'sudah', 'bagus', 'suaranya', 'juga', 'jalan', 'ceritanya', 'juga', 'menarik', 'bikin', 'penasaran', 'cocok', 'untuk', 'pecinta', 'game', 'teka', 'teki', 'seperti', 'ini', 'tapi', 'tolong', 'dikurangi', 'mencari', 'barang-barang', 'ya', 'karena', 'mungkin', 'ada', 'sebagian', 'pemain', 'termasuk', 'aku', 'bosan', 'cari', 'barang', 'barangnya', 'apalagi', 'belum', 'energinya', 'habis', 'tolong', 'diperbaiki', 'lagi', 'terima', 'kasih']","['grafisnya', 'bagus', 'suaranya', 'jalan', 'ceritanya', 'menarik', 'bikin', 'penasaran', 'cocok', 'pecinta', 'game', 'teka', 'teki', 'tolong', 'dikurangi', 'mencari', 'barang-barang', 'pemain', 'bosan', 'cari', 'barang', 'barangnya', 'belum', 'energinya', 'habis', 'tolong', 'diperbaiki', 'terima', 'kasih']","['grafisnya', 'bagus', 'suaranya', 'jalan', 'ceritanya', 'menarik', 'bikin', 'penasaran', 'cocok', 'pecinta', 'game', 'teka', 'teki', 'tolong', 'dikurangi', 'mencari', 'barang-barang', 'pemain', 'bosan', 'cari', 'barang', 'barangnya', 'tidak_energinya', 'habis', 'tolong', 'diperbaiki', 'terima', 'kasih']","['grafis', 'bagus', 'suara', 'jalan', 'cerita', 'tarik', 'bikin', 'penasaran', 'cocok', 'cinta', 'game', 'teka', 'teki', 'tolong', 'rang', 'cari', 'barang', 'main', 'bosan', 'cari', 'barang', 'barang', 'tidak energi', 'habis', 'tolong', 'baik', 'terima', 'kasih']"
Hanifah Dwis,"setiap ganti handphone pasti cari game ini, udah lama banget suka game satu ini. Mulai dari plot, voice over, grafik. Keren banget pokoknya, aku cari game yg kayak gini gak nemu lagi. Bestest game ive ever plaay! Gak pernah bosen.",5,2025-04-01 13:37:31,setiap ganti handphone pasti cari game ini udah lama banget suka game satu ini Mulai dari plot voice over grafik Keren banget pokoknya aku cari game yg kayak gini gak nemu lagi Bestest game ive ever plaay Gak pernah bosen,setiap ganti handphone pasti cari game ini udah lama banget suka game satu ini mulai dari plot voice over grafik keren banget pokoknya aku cari game yg kayak gini gak nemu lagi bestest game ive ever plaay gak pernah bosen,"['setiap', 'ganti', 'handphone', 'pasti', 'cari', 'game', 'ini', 'udah', 'lama', 'banget', 'suka', 'game', 'satu', 'ini', 'mulai', 'dari', 'plot', 'voice', 'over', 'grafik', 'keren', 'banget', 'pokoknya', 'aku', 'cari', 'game', 'yg', 'kayak', 'gini', 'gak', 'nemu', 'lagi', 'bestest', 'game', 'ive', 'ever', 'plaay', 'gak', 'pernah', 'bosen']","['setiap', 'ganti', 'handphone', 'pasti', 'cari', 'game', 'ini', 'sudah', 'lama', 'banget', 'suka', 'game', 'satu', 'ini', 'mulai', 'dari', 'alur', 'suara', 'selesai', 'grafik', 'keren', 'banget', 'pokoknya', 'aku', 'cari', 'game', 'yang', 'seperti', 'begini', 'tidak', 'temu', 'lagi', 'paling', 'baik', 'game', 'saya', 'telah', 'pernah', 'play', 'tidak', 'pernah', 'bosan']","['ganti', 'handphone', 'cari', 'game', 'banget', 'suka', 'game', 'alur', 'suara', 'selesai', 'grafik', 'keren', 'banget', 'pokoknya', 'cari', 'game', 'tidak', 'temu', 'game', 'play', 'tidak', 'bosan']","['ganti', 'handphone', 'cari', 'game', 'banget', 'suka', 'game', 'alur', 'suara', 'selesai', 'grafik', 'keren', 'banget', 'pokoknya', 'cari', 'game', 'tidak_temu', 'game', 'play', 'tidak_bosan']","['ganti', 'handphone', 'cari', 'game', 'banget', 'suka', 'game', 'alur', 'suara', 'selesai', 'grafik', 'keren', 'banget', 'pokok', 'cari', 'game', 'tidak temu', 'game', 'play', 'tidak bosan']"
Fathiah Indah Syarifah,"Game nya bagus dan aku suka, cuma Energinya kenapa lama sekali mengisinya dan kenapa cepat sekali habisnya",4,2025-03-21 02:27:57,Game nya bagus dan aku suka cuma Energinya kenapa lama sekali mengisinya dan kenapa cepat sekali habisnya,game nya bagus dan aku suka cuma energinya kenapa lama sekali mengisinya dan kenapa cepat sekali habisnya,"['game', 'nya', 'bagus', 'dan', 'aku', 'suka', 'cuma', 'energinya', 'kenapa', 'lama', 'sekali', 'mengisinya', 'dan', 'kenapa', 'cepat', 'sekali', 'habisnya']","['game', 'ya', 'bagus', 'dan', 'aku', 'suka', 'cuma', 'energinya', 'kenapa', 'lama', 'sekali', 'mengisinya', 'dan', 'kenapa', 'cepat', 'sekali', 'habisnya']","['game', 'bagus', 'suka', 'energinya', 'mengisinya', 'cepat', 'habisnya']","['game', 'bagus', 'suka', 'energinya', 'mengisinya', 'cepat', 'habisnya']","['game', 'bagus', 'suka', 'energi', 'isi', 'cepat', 'habis']"
Jack Zulfi,"the issue have been fixed, thank you dev! keeep the good work!",5,2025-02-11 01:50:32,the issue have been fixed thank you dev keeep the good work,the issue have been fixed thank you dev keeep the good work,"['the', 'issue', 'have', 'been', 'fixed', 'thank', 'you', 'dev', 'keeep', 'the', 'good', 'work']","['the', 'masalah', 'punya', 'telah', 'diperbaiki', 'terima', 'kasih', 'you', 'developer', 'pertahankan', 'the', 'bagus', 'kerja']","['the', 'diperbaiki', 'terima', 'kasih', 'you', 'developer', 'pertahankan', 'the', 'bagus']","['the', 'diperbaiki', 'terima', 'kasih', 'you', 'developer', 'pertahankan', 'the', 'bagus']","['the', 'baik', 'terima', 'kasih', 'you', 'developer', 'tahan', 'the', 'bagus']"
