tidak_baku,kata_baku
22nya,dua-duanya
aaaaaaakkk,ah
aaaaahhhh,ah
aaaammmiiiinnnn,amin
aaahh,ah
aaamiiin,amin
aaamiiinnn,amin
aaamin,amin
aahh,ah
aama,sama
aamien,amin
aamiiiiinnn,amin
aamiiiinnnnn,amin
aamiiin,amin
aamiin,amin
aamiinin,amin
aamiinnn,amin
aamin,amin
"abal""",abal-abal
abal2,abal-abal
abanggg,abang
abanggku,abangku
abeees,habis
abes,habis
abez,habis
abg,abang
abgnya,abangnya
abgnyaah,abangnya
abiiiiisssss,habis
abiiiss,habis
abis,habis
abis2,habis-habis
abisdan,habis dan
abisga,habis sudah
abislumayan,habis lumayan
abisnya,habisnya
abiss,habis
abissnya,habisnya
abisss,habis
abissss,habis
abistolong,habis tolong
abiz,habis
abizzz,habis
abizzzz,habis
about,tentang
abs,habis
accent,aksen
accentnya,aksennya
accents,aksen-aksen
achievement,prestasi
achievment,prestasi
acra,acara
act,akting
action,aksi
actor,aktor
actornya,aktornya
actors,aktor-aktor
actually,sebenarnya
ad,ada
ada2,ada-ada
adaa,ada
adain,mengadakan
adain,adakan
adapin,menghadapi
add,ada
add,tambahkan
addicted,kecanduan
adds,menambahkan
ade,adek
adeeek,adek
adek2,adek-adek
adekx,adeknya
ademm,adem
ademmm,adem
adengan,adegan
adenya,adeknya
adeuh,aduh
adiik,adik
adikadik,adik-adik
adkah,adakah
adl,adalah
adlh,adalah
adlinya,alurnya
admit,mengakui
adroid,android
ads,iklan
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
aduuhhhh,aduh
aduuuh,aduh
adventure,petualangan
adventurepuzzle,petualangan puzzle
advice,nasihat
adyem,adem
ae,saja
aee,saja
aelah,alah
aer,air
after,setelah
again,lagi
againn,lagi
agama'ny,agamanya
agan2,agan-agan
agk,agak
agma,agama
ago,yang lalu
ahahahanjirrr,anjir
ahapalagi,ah apalagi
